"gene","degree","betweenness","eigenvector"
"APOE",82,2947.70193000727,1
"EGFR",75,2336.84836429858,0.56931133718739
"APP",73,3346.48785661034,0.878626182365236
"SRC",59,1061.4486626296,0.52759155402338
"CLU",55,970.215876417314,0.795896636133318
"APOA1",50,347.145246512481,0.808588012291388
"FYN",50,859.065263565383,0.412131723044812
"APOB",49,255.630631455478,0.802771220202963
"GRB2",45,898.275792946328,0.393061718596598
"TNF",44,1123.39625448062,0.401953002457508
"ALB",42,408.988852950408,0.592920991159609
"CBL",42,540.05971071207,0.356308839704519
"KDR",42,397.251400884493,0.340191737492259
"IL6",40,589.833126930504,0.429454969450006
"STAT3",40,443.996089261971,0.412156533515014
"APOA2",39,47.4213820793409,0.720964781989971
"APOH",39,126.798586694542,0.705433105425615
"PTPN11",39,323.152304295008,0.356046432294561
"FN1",38,545.153070554279,0.480953543728635
"TLR4",38,616.388562658243,0.406959484867452
"APOC3",37,26.8214216252159,0.705979824581037
"LYN",37,148.177771350526,0.340813213639409
"PDGFRB",37,202.661296059756,0.308947554333045
"PIK3R1",37,90.0723694443432,0.357078005707336
"PIK3CA",36,117.100736690633,0.341361727409686
"SYK",36,300.314428545887,0.312229070930405
"APOA4",35,24.3482653347107,0.680688714783577
"APOC1",35,40.7056982726234,0.668855832203467
"APOC2",35,40.7056982726234,0.668855832203467
"CETP",35,87.3039397819606,0.658740509948773
"CSF1R",34,426.708173793495,0.253148900691303
"LCAT",34,82.6592160878823,0.661303397903138
"PLTP",34,43.7580351400803,0.656362083843368
"SHC1",34,168.323152444867,0.352908126294541
"INS",33,365.490870398342,0.423984498330397
"PLCG2",33,129.243285873964,0.300750913111294
"PON1",33,23.9407809212943,0.659443390547121
"LPA",32,26.3742798337044,0.645026183112798
"PIK3CB",32,311.200901848062,0.296847431409572
"PIK3R2",32,32.7405857255648,0.316122412169756
"APOL1",31,81.6629315113464,0.620236369380045
"APOM",31,8.62861502784497,0.629016215070866
"HCK",31,51.7239915473784,0.283699963765471
