"gene","community"
"A2M",1
"ABCA1",2
"ABCA7",3
"ABI3",4
"ACE",1
"ACHE",5
"ADAM10",5
"ADAM17",5
"ADGRA3",6
"ALB",1
"ANO5",7
"APH1A",5
"APH1B",5
"APOA1",2
"APOA2",2
"APOA4",2
"APOA5",2
"APOB",2
"APOC1",2
"APOC2",2
"APOC3",2
"APOC4",2
"APOD",2
"APOE",2
"APOF",2
"APOH",2
"APOL1",2
"APOM",2
"APP",5
"ATP5F1C",8
"ATP8B4",9
"BACE1",5
"BARHL2",10
"BCL11A",11
"BIN1",3
"BLID",3
"C3",1
"C9",1
"CASS4",3
"CAV1",12
"CBL",12
"CBLB",12
"CCDC6",13
"CCRL2",1
"CD2AP",3
"CD33",3
"CD68",1
"CDH13",14
"CEP170",15
"CETP",2
"CIR1",5
"CLNK",16
"CLU",2
"CNTNAP2",3
"CR1",1
"CRK",12
"CRKL",12
"CRP",1
"CSF1R",12
"CSK",12
"CST3",1
"CTNNB1",14
"CTSB",1
"DBI",2
"DIO2",17
"DIRAS2",12
"DOCK3",12
"DOK1",12
"ECHDC3",18
"EFNA1",12
"EFNA2",12
"EFNA3",12
"EFNA4",12
"EGFR",12
"ELOVL7",19
"EPB41L1",20
"EPHA1",3
"EPHX2",21
"EPN2",3
"EPN3",3
"ERBB4",12
"FAM20B",22
"FBN1",1
"FBXL22",23
"FCGR3A",1
"FERMT2",3
"FN1",1
"FYN",12
"GAB1",12
"GAB2",12
"GLIS3",24
"GRAP2",12
"GRB2",12
"GRN",1
"GSAP",5
"GULP1",5
"H2BC4",3
"HCK",12
"HCN4",14
"HFE",25
"HPR",2
"HSPG2",1
"ICAM1",1
"IDUA",26
"IGFBP3",1
"IGHV3-16",1
"IGHV3-43D",1
"IL10",1
"IL1B",1
"IL34",1
"IL6",1
"IL6R",1
"INPP5D",12
"INPPL1",12
"INS",1
"ITGB1",12
"ITPR2",5
"ITPR3",5
"JAZF1",27
"KDR",12
"KHDRBS2",28
"KMT2C",3
"LCAT",2
"LCP2",12
"LILRA5",12
"LILRB2",12
"LIMS1",3
"LIPC",2
"LIPG",2
"LPA",2
"LPL",2
"LRP1",1
"LRP2",1
"LRP8",2
"LRRC25",29
"LTF",1
"LYN",12
"MAPT",5
"MELK",30
"MINDY2",3
"MME",5
"MMEL1",5
"MMP3",1
"MMP9",1
"MOB3B",31
"MPO",1
"MS4A10",3
"MS4A12",3
"MS4A4A",3
"MS4A4E",3
"MS4A6A",3
"MS4A6E",3
"MS4A8",3
"MT-ATP8",8
"MT-ND1",8
"MTHFD1L",32
"NBPF4",33
"NBPF6",33
"NCK2",12
"NCOR2",5
"NCSTN",5
"NECTIN2",34
"NECTIN3",34
"NME8",3
"NOTCH1",5
"NOX4",1
"NR1H2",2
"NR1H3",2
"PCYOX1",2
"PDE3A",35
"PDE4B",36
"PDGFC",12
"PDGFRB",12
"PEX3",2
"PGF",12
"PICALM",3
"PIK3C2B",12
"PIK3CA",12
"PIK3CB",12
"PIK3CD",12
"PIK3R1",12
"PIK3R2",12
"PIK3R3",12
"PILRA",12
"PITX2",14
"PLA2G7",2
"PLCG2",12
"PLG",1
"PLTP",2
"PON1",2
"PRDM9",37
"PRNP",5
"PRSS8",38
"PSEN1",5
"PSEN2",5
"PSENEN",5
"PSME4",39
"PTK2B",12
"PTPN11",12
"PTPN6",12
"PTPRN2",40
"PVR",34
"PVRIG",34
"RASGEF1C",41
"RHOH",12
"RIN3",3
"RPS27A",3
"RUNX1",12
"SAA1",2
"SAA2",2
"SAA4",2
"SAP30L",5
"SCARB1",1
"SCIMP",12
"SDCCAG8",42
"SDK1",43
"SELENOS",2
"SERPINA1",2
"SHARPIN",3
"SHC1",12
"SHC2",12
"SHC3",12
"SHC4",12
"SLC24A4",3
"SLC26A1",44
"SNCA",5
"SORL1",3
"SORT1",2
"SPPL2A",1
"SRC",12
"STAP2",12
"STAT3",12
"SYK",12
"TANK",3
"TBX5",14
"TCF7L2",14
"TCN2",1
"TIGIT",34
"TLR4",1
"TMED10",5
"TMEM106B",1
"TNF",1
"TNFRSF1A",3
"TOMM40",2
"TRAF2",3
"TRAF5",3
"TRAF6",3
"TREM2",5
"TSPAN14",5
"TSPAN15",5
"TSPOAP1",45
"TYROBP",12
"UBA52",3
"UBB",3
"UBC",3
"UBE2V2",3
"ULK4",46
"USP6NL",47
"VEGFB",12
"VEGFC",12
"VEGFD",12
"VENTX",14
"VLDLR",2
"VTN",1
"WASL",12
"ZCWPW1",3
"ZFHX3",14
"ZFTA",48
"ZNF568",49
"ZNF652",50
