"drug_name","targets","max_clinical_stage","real_distance","z_score"
"CABIRALIZUMAB","CSF1R","PHASE_2",0,-2.76715990015819
"AMG-820","CSF1R","PHASE_1_2",0,-2.63912864407933
"EMACTUZUMAB","CSF1R","PHASE_3",0,-2.63912864407933
"ABIVERTINIB MALEATE","EGFR","PHASE_3",0,-2.63912864407933
"PEXIDARTINIB HYDROCHLORIDE","CSF1R","APPROVAL",0,-2.52494957778772
"THELIATINIB","EGFR","PHASE_1",0,-2.52494957778772
"TAK-285","EGFR","PHASE_1",0,-2.47227483446781
"EDICOTINIB","CSF1R","PHASE_2",0,-2.47227483446781
"ZALUTUMUMAB","EGFR","PHASE_3",0,-2.42220332869007
"AMIVANTAMAB","EGFR","APPROVAL",0,-2.42220332869007
"LAPATINIB DITOSYLATE","EGFR","APPROVAL",0,-2.37451749484676
"CT-1578","CSF1R","PHASE_1",0,-2.32902443926844
"PLX-5622","CSF1R","PHASE_1",0,-2.32902443926844
"CLN-081","EGFR","PHASE_3",0,-2.32902443926844
"IMC-CS4","CSF1R","PHASE_1_2",0,-2.28555244962788
"MIPOMERSEN","APOB","APPROVAL",0,-2.28555244962788
"LAZERTINIB","EGFR","APPROVAL",0,-2.28555244962788
"NIMOTUZUMAB","EGFR","APPROVAL",0,-2.24394808993056
"BRIGATINIB","EGFR","APPROVAL",0,-2.24394808993056
"ARRY-382","CSF1R","PHASE_2",0,-2.24394808993056
"PIMURUTAMAB","EGFR","PHASE_2_3",0,-2.24394808993056
"ROCILETINIB","EGFR","APPROVAL",0,-2.20407376838222
"AXATILIMAB","CSF1R","PHASE_3",0,-2.20407376838222
"PLX-7486","CSF1R","PHASE_1",0,-2.16580568974095
"ABIVERTINIB","EGFR","PHASE_3",0,-2.16580568974095
"ICOTINIB","EGFR","APPROVAL",0,-2.12903212229825
"FALNIDAMOL","EGFR","PHASE_1",0,-2.12903212229825
"PF-06459988","EGFR","PHASE_2",0,-2.12903212229825
"FIRMONERTINIB","EGFR","PHASE_3",0,-2.12903212229825
"BAFISONTAMAB","EGFR","PHASE_2",0,-2.12903212229825
"AV-412","EGFR","PHASE_1",0,-2.12903212229825
"LAZERTINIB MESYLATE","EGFR","APPROVAL",0,-2.12903212229825
"ALLITINIB","EGFR","PHASE_1",0,-2.09365192388285
"PYROTINIB","EGFR","PHASE_3",0,-2.09365192388285
"MAVELERTINIB","EGFR","PHASE_1_2",0,-2.09365192388285
"AZD-4769","EGFR","PHASE_1",0,-2.09365192388285
"GC1118","EGFR","PHASE_2",0,-2.09365192388285
"PANITUMUMAB","EGFR","APPROVAL",0,-2.05957328232407
"CEP-32496","EGFR","PHASE_1_2",0,-2.05957328232407
"FUTUXIMAB","EGFR","PHASE_3",0,-2.05957328232407
"CUSTIRSEN SODIUM","CLU","PHASE_2",0,-2.05957328232407
"OSIMERTINIB MESYLATE","EGFR","APPROVAL",0,-2.05957328232407
"AUMOLERTINIB","EGFR","APPROVAL",0,-2.05957328232407
"VARLITINIB","EGFR","PHASE_2_3",0,-2.02671263443146
"RUSERONTINIB","EGFR","PHASE_3",0,-2.02671263443146
"DEPATUXIZUMAB","EGFR","PHASE_2",0,-2.02671263443146
"MIPOMERSEN SODIUM","APOB","APPROVAL",0,-2.02671263443146
"LAPATINIB","EGFR","APPROVAL",0,-2.02671263443146
"OLMUTINIB","EGFR","APPROVAL",0,-1.994993734326
"CETUXIMAB SAROTALOCAN","EGFR","APPROVAL",0,-1.994993734326
"TUXOBERTINIB","EGFR","PHASE_1_2",0,-1.994993734326
"MOBOCERTINIB","EGFR","APPROVAL",0,-1.994993734326
"CUSTIRSEN","CLU","PHASE_3",0,-1.96434684732238
"S-222611","EGFR","PHASE_1",0,-1.96434684732238
"SIMOTINIB","EGFR","PHASE_1",0,-1.96434684732238
"LOSATUXIZUMAB VEDOTIN","EGFR","PHASE_1",0,-1.96434684732238
"PELITINIB","EGFR","PHASE_2",0,-1.96434684732238
"NECITUMUMAB","EGFR","APPROVAL",0,-1.93470804983471
"RINDOPEPIMUT","EGFR","PHASE_3",0,-1.93470804983471
"DULIGOTUZUMAB","EGFR","PHASE_2",0,-1.93470804983471
"NAZARTINIB","EGFR","PHASE_3",0,-1.93470804983471
"MODOTUXIMAB","EGFR","PHASE_2",0,-1.93470804983471
"CUDC-101","EGFR","PHASE_1",0,-1.93470804983471
"PKI-166","EGFR","PHASE_2",0,-1.90601861920187
"MATUZUMAB","EGFR","PHASE_2",0,-1.90601861920187
