gene,degree_centrality,betweenness_centrality,eigenvector_centrality
APOE,0.3048327137546468,0.08177611746122376,0.21960853619463813
EGFR,0.2788104089219331,0.06482961672026255,0.12506522756581712
APP,0.27137546468401486,0.09283936793570266,0.19295914278867007
SRC,0.21933085501858735,0.029447058276358105,0.11590225197797553
CLU,0.20446096654275092,0.026916048283230153,0.17477985124691334
APOA1,0.18587360594795538,0.009630617724920396,0.17756641387456734
FYN,0.18587360594795538,0.023832471385601264,0.09054060211420385
APOB,0.1821561338289963,0.007091789143191427,0.17628931591700478
GRB2,0.16728624535315983,0.02492026280159596,0.08635143848962648
TNF,0.16356877323420074,0.03116562876548366,0.08828632703239588
KDR,0.15613382899628253,0.011020679156757843,0.07473544138363028
ALB,0.15613382899628253,0.011346303416479155,0.13021542050612914
CBL,0.15613382899628253,0.014982514307054036,0.07827903428307885
STAT3,0.1486988847583643,0.01231748569222579,0.09054051488396202
IL6,0.1486988847583643,0.016363344807482205,0.09432749324793319
APOH,0.1449814126394052,0.003517688140002818,0.15491215407324413
APOA2,0.1449814126394052,0.0013155795949437072,0.15832240454272398
PTPN11,0.1449814126394052,0.008964997622343908,0.07822214038663565
TLR4,0.14126394052044608,0.017100054448711176,0.08939014264041696
FN1,0.14126394052044608,0.015123815972764782,0.10563677092383016
PIK3R1,0.137546468401487,0.002498817329089031,0.07844898779692352
LYN,0.137546468401487,0.004110796519739394,0.07487487467502629
APOC3,0.137546468401487,0.0007440887095715441,0.15503129941647376
PDGFRB,0.137546468401487,0.005622296400703434,0.06787286685577325
PIK3CA,0.13382899628252787,0.0032486471922164254,0.07499619888752888
SYK,0.13382899628252787,0.008331421754033366,0.06859481474327418
APOC2,0.13011152416356878,0.0011292708836659663,0.14687819592722964
APOA4,0.13011152416356878,0.0006754775934836223,0.14947713750033417
CETP,0.13011152416356878,0.002422014641900921,0.14465734855965967
APOC1,0.13011152416356878,0.0011292708836659663,0.14687819592722964
SHC1,0.12639405204460966,0.0046696763148439974,0.07752896789006138
PLTP,0.12639405204460966,0.001213949818012548,0.14413506357485673
CSF1R,0.12639405204460966,0.011837878649322958,0.05561402846667258
LCAT,0.12639405204460966,0.0022931591879232745,0.14522061654437
PLCG2,0.12267657992565055,0.0035855097895456877,0.06607429547719312
INS,0.12267657992565055,0.010139568062984588,0.09312520172281633
PON1,0.12267657992565055,0.0006641730267240267,0.1448117882701483
LPA,0.11895910780669144,0.0007316839547718034,0.14164650287766065
PIK3R2,0.11895910780669144,0.0009083001089043111,0.06945191778419327
PIK3CB,0.11895910780669144,0.008633437880709714,0.0652173100625291
APOL1,0.11524163568773234,0.0022655199331783355,0.1362017458432127
