gene,community
HFE,0
SORT1,1
TMEM106B,1
PSEN1,1
ADAM10,1
GRN,1
MMEL1,1
APP,1
GSAP,1
ACHE,1
BACE1,1
MME,1
ITPR3,1
ITPR2,1
MAPT,1
GULP1,1
TREM2,1
TMED10,1
APH1B,1
PSENEN,1
NCSTN,1
TSPAN15,1
LRP1,1
TSPAN14,1
NOTCH1,1
PRNP,1
PSEN2,1
ADAM17,1
SNCA,1
APH1A,1
HSPG2,1
EPN3,2
SLC24A4,2
NME8,2
MS4A12,2
MS4A6E,2
RPS27A,2
TRAF5,2
SHARPIN,2
MS4A10,2
MS4A6A,2
TNFRSF1A,2
MS4A4A,2
TANK,2
BIN1,2
TRAF6,2
EPN2,2
UBB,2
UBA52,2
RIN3,2
LIMS1,2
MINDY2,2
UBE2V2,2
CNTNAP2,2
FERMT2,2
EPHA1,2
TRAF2,2
BLID,2
MS4A4E,2
UBC,2
SORL1,2
PICALM,2
CD33,2
CD2AP,2
CASS4,2
H2BC4,2
KMT2C,2
ABCA7,2
ZCWPW1,2
MS4A8,2
RASGEF1C,3
ATP8B4,4
ABI3,5
ECHDC3,6
PDE4B,7
ULK4,8
FBXL22,9
SLC26A1,10
PRSS8,11
SDCCAG8,12
ELOVL7,13
SDK1,14
MELK,15
PRDM9,16
MOB3B,17
GLIS3,18
TSPOAP1,19
LRRC25,20
USP6NL,21
EPB41L1,22
ZNF652,23
KHDRBS2,24
MTHFD1L,25
ZNF568,26
BARHL2,27
CLNK,28
NBPF4,29
NBPF6,29
ZFTA,30
PTPRN2,31
CCDC6,32
CEP170,33
IDUA,34
PSME4,35
FAM20B,36
ADGRA3,37
PDE3A,38
BCL11A,39
DIO2,40
JAZF1,41
EPHX2,42
ANO5,43
CST3,44
CRP,44
MPO,44
ALB,44
LRP2,44
TLR4,44
IL1B,44
PLG,44
FBN1,44
TBX5,44
IL6,44
IL6R,44
C3,44
IGFBP3,44
CR1,44
MMP3,44
SCARB1,44
VTN,44
VENTX,44
HCN4,44
PITX2,44
CDH13,44
ACE,44
ZFHX3,44
CD68,44
SPPL2A,44
IL10,44
IGHV3-16,44
IGHV3-43D,44
CCRL2,44
ICAM1,44
CTNNB1,44
FN1,44
IL34,44
TCF7L2,44
A2M,44
INS,44
FCGR3A,44
MMP9,44
CTSB,44
TCN2,44
LTF,44
C9,44
NOX4,44
TNF,44
PCYOX1,45
SAA4,45
LPA,45
LIPG,45
TOMM40,45
PLTP,45
LCAT,45
APOM,45
APOE,45
APOC3,45
LPL,45
APOC1,45
APOD,45
APOA5,45
PEX3,45
SAA1,45
CLU,45
PON1,45
SERPINA1,45
PLA2G7,45
ABCA1,45
APOC2,45
APOA4,45
LIPC,45
SELENOS,45
DBI,45
SAA2,45
APOL1,45
LRP8,45
APOB,45
NR1H3,45
APOH,45
APOC4,45
CETP,45
HPR,45
APOF,45
APOA2,45
VLDLR,45
APOA1,45
NR1H2,45
TIGIT,46
NECTIN2,46
NECTIN3,46
PVR,46
PVRIG,46
SAP30L,47
CIR1,47
NCOR2,47
NCK2,48
RUNX1,48
LYN,48
ERBB4,48
EFNA3,48
PIK3CA,48
PIK3R2,48
PGF,48
VEGFD,48
INPP5D,48
PTPN11,48
SRC,48
GAB2,48
CBLB,48
PIK3CB,48
TYROBP,48
CRK,48
SHC2,48
GRB2,48
STAP2,48
VEGFB,48
PIK3R1,48
STAT3,48
PIK3C2B,48
SHC1,48
FYN,48
PILRA,48
INPPL1,48
DOK1,48
PDGFC,48
CAV1,48
WASL,48
LILRA5,48
GAB1,48
VEGFC,48
EFNA1,48
EFNA4,48
EGFR,48
PTPN6,48
PDGFRB,48
RHOH,48
PIK3CD,48
SHC3,48
DIRAS2,48
HCK,48
SHC4,48
LCP2,48
LILRB2,48
DOCK3,48
CSF1R,48
PIK3R3,48
PLCG2,48
PTK2B,48
CRKL,48
CSK,48
ITGB1,48
SYK,48
EFNA2,48
CBL,48
KDR,48
SCIMP,48
GRAP2,48
ATP5F1C,49
MT-ND1,49
MT-ATP8,49
