drug_name,targets,max_clinical_stage,real_distance,z_score
IMC-CS4,CSF1R,PHASE_1_2,0.0,-3.086473033978052
PEXIDARTINIB HYDROCHLORIDE,CSF1R,APPROVAL,0.0,-2.9195563916132063
PLX-5622,CSF1R,PHASE_1,0.0,-2.8444523358476395
EDICOTINIB,CSF1R,PHASE_2,0.0,-2.8444523358476395
CT-1578,CSF1R,PHASE_1,0.0,-2.8444523358476395
OLMUTINIB,EGFR,APPROVAL,0.0,-2.774103850599873
MDX-447,EGFR,PHASE_1,0.0,-2.774103850599873
AMG-820,CSF1R,PHASE_1_2,0.0,-2.70801280154532
AXATILIMAB,CSF1R,PHASE_3,0.0,-2.586949495507729
TAK-285,EGFR,PHASE_1,0.0,-2.586949495507729
BAFISONTAMAB,EGFR,PHASE_2,0.0,-2.586949495507729
AZD-3759,EGFR,PHASE_2_3,0.0,-2.428281640201139
ARRY-382,CSF1R,PHASE_2,0.0,-2.428281640201139
FALNIDAMOL,EGFR,PHASE_1,0.0,-2.4282816402011385
EMACTUZUMAB,CSF1R,PHASE_3,0.0,-2.3804761428476167
AZD-4769,EGFR,PHASE_1,0.0,-2.3804761428476167
FUTUXIMAB,EGFR,PHASE_3,0.0,-2.3804761428476167
ABIVERTINIB MALEATE,EGFR,PHASE_3,0.0,-2.3348689263480744
MAVELERTINIB,EGFR,PHASE_1_2,0.0,-2.3348689263480744
S-222611,EGFR,PHASE_1,0.0,-2.3348689263480744
OSIMERTINIB MESYLATE,EGFR,APPROVAL,0.0,-2.3348689263480744
LAZERTINIB,EGFR,APPROVAL,0.0,-2.2912878474779195
NAQUOTINIB,EGFR,PHASE_3,0.0,-2.2912878474779195
DEPATUXIZUMAB,EGFR,PHASE_2,0.0,-2.2912878474779195
PLX-7486,CSF1R,PHASE_1,0.0,-2.2912878474779195
MOBOCERTINIB SUCCINATE,EGFR,APPROVAL,0.0,-2.2912878474779195
OSIMERTINIB,EGFR,APPROVAL,0.0,-2.249579085208177
PIMURUTAMAB,EGFR,PHASE_2_3,0.0,-2.1712405933672376
ALLITINIB,EGFR,PHASE_1,0.0,-2.171240593367237
DULIGOTUZUMAB,EGFR,PHASE_2,0.0,-2.171240593367237
CUSTIRSEN SODIUM,CLU,PHASE_2,0.0,-2.171240593367237
PYROTINIB,EGFR,PHASE_3,0.0,-2.1343747458109497
ERLOTINIB HYDROCHLORIDE,EGFR,APPROVAL,0.0,-2.1343747458109497
CETUXIMAB,EGFR,APPROVAL,0.0,-2.1343747458109497
AMIVANTAMAB,EGFR,APPROVAL,0.0,-2.1343747458109497
TUXOBERTINIB,EGFR,PHASE_1_2,0.0,-2.098905763822046
TOMUZOTUXIMAB,EGFR,PHASE_2,0.0,-2.0989057638220454
NECITUMUMAB,EGFR,APPROVAL,0.0,-2.0989057638220454
ABIVERTINIB,EGFR,PHASE_3,0.0,-2.064741604835056
BRIGATINIB,EGFR,APPROVAL,0.0,-2.064741604835056
AV-412,EGFR,PHASE_1,0.0,-2.064741604835056
MIPOMERSEN SODIUM,APOB,APPROVAL,0.0,-2.064741604835056
THELIATINIB,EGFR,PHASE_1,0.0,-2.064741604835056
ERLOTINIB,EGFR,APPROVAL,0.0,-2.064741604835056
TESEVATINIB,EGFR,PHASE_3,0.0,-2.031798495964875
MOBOCERTINIB,EGFR,APPROVAL,0.0,-2.031798495964875
MAB-425,EGFR,UNKNOWN,0.0,-2.031798495964875
VARLITINIB,EGFR,PHASE_2_3,0.0,-2.031798495964875
RUSERONTINIB,EGFR,PHASE_3,0.0,-2.0
FIRMONERTINIB,EGFR,PHASE_3,0.0,-2.0
PANITUMUMAB,EGFR,APPROVAL,0.0,-2.0
CLN-081,EGFR,PHASE_3,0.0,-2.0
CABIRALIZUMAB,CSF1R,PHASE_2,0.0,-2.0
SAPITINIB,EGFR,PHASE_2,0.0,-1.969276207261898
LAPATINIB DITOSYLATE,EGFR,APPROVAL,0.0,-1.969276207261898
CUSTIRSEN,CLU,PHASE_3,0.0,-1.9692762072618977
RINDOPEPIMUT,EGFR,PHASE_3,0.0,-1.9692762072618977
SIMOTINIB,EGFR,PHASE_1,0.0,-1.9692762072618977
NIMOTUZUMAB,EGFR,APPROVAL,0.0,-1.9692762072618977
LEVILIMAB,IL6R,APPROVAL,0.0,-1.9692762072618974
MATUZUMAB,EGFR,PHASE_2,0.0,-1.9395630337539338
GEFITINIB,EGFR,APPROVAL,0.0,-1.9395630337539336
CETUXIMAB SAROTALOCAN,EGFR,APPROVAL,0.0,-1.9395630337539336
PKI-166,EGFR,PHASE_2,0.0,-1.9395630337539336
EPITINIB,EGFR,PHASE_1,0.0,-1.9395630337539336
PF-06459988,EGFR,PHASE_2,0.0,-1.9395630337539331
AUMOLERTINIB,EGFR,APPROVAL,0.0,-1.9395630337539331
LAPATINIB,EGFR,APPROVAL,0.0,-1.9108016094554858
ROSIPTOR,INPP5D,PHASE_3,0.0,-1.9108016094554858
LOSATUXIZUMAB VEDOTIN,EGFR,PHASE_1,0.0,-1.9108016094554856
NAZARTINIB,EGFR,PHASE_3,0.0,-1.9108016094554856
ROCILETINIB,EGFR,APPROVAL,0.0,-1.9108016094554856
DEPATUXIZUMAB MAFODOTIN,EGFR,PHASE_3,0.0,-1.8829377433825436
ZALUTUMUMAB,EGFR,PHASE_3,0.0,-1.8829377433825434
ICOTINIB,EGFR,APPROVAL,0.0,-1.8297065576087663
LAZERTINIB MESYLATE,EGFR,APPROVAL,0.0,-1.8042503010769237
MODOTUXIMAB,EGFR,PHASE_2,0.0,-1.8042503010769237
GC1118,EGFR,PHASE_2,0.0,-1.7795130420052185
MIPOMERSEN,APOB,APPROVAL,0.0,-1.7795130420052185
CEP-32496,EGFR,PHASE_1_2,0.0,-1.7795130420052183
PELITINIB,EGFR,PHASE_2,0.0,-1.755457961063501
CUDC-101,EGFR,PHASE_1,0.0,-1.6870547845739468
SATRALIZUMAB,IL6R,APPROVAL,0.0,-1.6442942874387492
LINTUZUMAB,CD33,PHASE_3,0.0,-1.644294287438749
GEMTUZUMAB,CD33,PHASE_2,0.0,-1.6236882817719773
VOBARILIZUMAB,IL6R,PHASE_2,0.0,-1.6236882817719773
ONCOLYSIN M,CD33,PHASE_1,0.0,-1.6236882817719773
TOCILIZUMAB,IL6R,APPROVAL,0.0,-1.5839103288458476
QUIZARTINIB,CSF1R; PDGFRB,APPROVAL,0.5,-1.5667256310956927
SPIRAPRIL,ACE,APPROVAL,0.0,-1.5646967316604727
ENALAPRIL,ACE,APPROVAL,0.0,-1.5459076649252297
AVE-9633,CD33,PHASE_1,0.0,-1.5095325516828593
SARILUMAB,IL6R,APPROVAL,0.0,-1.4919136877222166
CAPTOPRIL,ACE,APPROVAL,0.0,-1.4919136877222166
ILEPATRIL,ACE,PHASE_2_3,0.0,-1.4746535778287642
LISINOPRIL ANHYDROUS,ACE,PHASE_3,0.0,-1.4577379737113252
BENAZEPRIL,ACE,APPROVAL,0.0,-1.4411533842457844
ENMD-2076,CSF1R; KDR,PHASE_2,0.5,-1.431789207065373
CILAZAPRIL,ACE,APPROVAL,0.0,-1.42488702369803
FOSINOPRIL SODIUM,ACE,APPROVAL,0.0,-1.4089267641952408
DEFACTINIB,PTK2B,PHASE_3,0.0,-1.3932610920384718
